BP Number,Priority,Public Safety and Disaster,Reference,cable,internet/Data,satellite,wireless,wireline,Service Provider,Network Operator,"Priority (1,2,3)",Equipment Supplier,Property Manager,Government,Public Safety,Keywords,,,,,,,,,,,,,,,,,,,,,
12-10-0436,Highly Important,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,FALSE,FALSE,TRUE,Network Operations, Procedures,,,,,,,,,,,,,,,,,,,,
12-10-0437,Highly Important,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,Cyber Security, Network Operations, Network Provisioning,,,,,,,,,,,,,,,,,,,
12-10-0440,Highly Important,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,2,FALSE,FALSE,FALSE,FALSE,Industry Cooperation, Network Operations,,,,,,,,,,,,,,,,,,,,
12-10-0447,Important,FALSE,Note: This Best practice could impact 9-1-1 operations.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,FALSE,Liaison, Network Operations,,,,,,,,,,,,,,,,,,,,
12-10-0448,Highly Important,FALSE,,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,2,TRUE,FALSE,FALSE,FALSE,Hardware, Network Elements, Network Provisioning, Software,,,,,,,,,,,,,,,,,,
12-10-0449,Critical,TRUE,Note: This Best practice could impact 9-1-1 operations.,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3,FALSE,FALSE,FALSE,TRUE,Cyber Security, Network Operations,,,,,,,,,,,,,,,,,,,,
12-10-0450,Highly Important,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,Documentation, Network Provisioning,,,,,,,,,,,,,,,,,,,,
12-10-0451,Highly Important,FALSE,,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,FALSE,TRUE,FALSE,FALSE,Buildings, Documentation,,,,,,,,,,,,,,,,,,,,
12-10-0452,Highly Important,TRUE,"Examples of site identification may include: Latitude/Longitude, Real Estate ID, FAA number, FCC registration number, ASR (Antenna Structure Registration) data base, cell ID, address, location.  See Best Practice 5120.",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,2,FALSE,TRUE,FALSE,TRUE,Buildings, Emergency Preparedness, Network Operations, Physical Security Management,,,,,,,,,,,,,,,,,,
12-10-0453,Important,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,TRUE,Buildings, Emergency Preparedness, Network Operations,,,,,,,,,,,,,,,,,,,
12-10-0454,Highly Important,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2,TRUE,FALSE,FALSE,TRUE,Business Continuity, Disaster Recovery, Emergency Preparedness, Network Operations, Policy, Procedures,,,,,,,,,,,,,,,,
