Keywords,Average Priority
Emergency Preparedness,2.111111111
Essential Services,1.913043478
Business Continuity,1.836734694
Network Elements,1.80952381
Industry Cooperation,1.8
Contractors and Vendors,1.777777778
Cyber Security,1.77581864
Disaster Recovery,1.771428571
Buildings,1.75
Network Operations,1.684210526
Network Design,1.615384615
Corporate Ethics,1.608695652
Hardware,1.574468085
Access Control,1.553846154
Facilities - Transport,1.393939394
Documentation,1.351351351
Fire,1.333333333
